"Bill of Material for "
"On 2019/10/28 at 20:33:24"

"Comment","Pattern","Quantity","Components"

"A4950","SOIC-8_A4950","2","U2, U4","Dual Full-Bridge  DMOS PWM Motor Driver"
"CAP POL","CAP6377","2","C1, C10","Polarized Capacitor (Axial)"
"CAP","0805","7","C2, C4, C5, C6, C7, C8, C11","Capacitor"
"CT357B","SOP-4_P2.54","1","U6","4 PIN PHOTOTRANSISTOR"
"DIODE","SMAF","1","D3","Diode"
"HEADER4","XH-4","1","P2","Header, 4-Pin"
"HEADER6","6P-1.27MM","1","P4","Header, 6-Pin"
"HEADER6","XH-6-S","1","P3","Header, 6-Pin"
"LED","0805","1","D2","Typical INFRARED GaAs LED"
"RES","0805","10","R3, R4, R5, R7, R8, R9, R10, R12, R14, R15","Resistor"
"RES","1206","2","R1, R2","Resistor"
"RS3005","SOT89","1","U1","Positive Voltage Regulator"
"STM32F030C8","LQFP-48_7x7x05P","1","U7","ST Microcontroller"
"SWDIP-4","SWSUR-4","1","S1","DIP Switch, 4Position, SPST"
"TLE5012B","PG-DSO-8F","1","U5","GMR-Based Angle Sensor"
"TLP2168","SO-8_3.9mm","1","U3","HIGH SPEED 10MBit/s LOGIC GATE  PHOTOCOUPLER"
